613,692
,
Andaman_and_Nicobar_Islands,
29,
537.4702,10.523
537.4292,10.057
538.1972,9.753
538.3012,7.296
539.5592,5.463
538.8492,5.486
539.5102,4.56
538.9362,4.374
538.4992,3.436
538.6022,1.568
538.1932,1.145
537.5302,1.632
537.0282,0.339
536.5672,0.553
536.7912,1.634
536.1852,1.946
536.0642,3.187
535.2512,3.915
535.3202,4.688
534.2442,5.803
533.5982,5.625
533.4772,7.572
533.8422,7.843
533.4422,8.111
534.0822,9.467
535.0762,9.409
535.6402,9.979
536.5182,9.706
536.6102,10.381
,
Andaman_and_Nicobar_Islands,
6,
534.6442,14.786
535.5392,13.029
533.2902,10.569
532.7202,11.949
532.9582,13.254
534.6622,13.72
,
Andaman_and_Nicobar_Islands,
12,
527.6722,26.982
528.2922,26.611
528.3462,25.663
528.7182,25.786
529.4512,24.992
529.3812,23.78
528.5622,24.513
527.1782,24.128
526.8902,24.757
527.2132,25.236
526.3582,25.067
526.5562,26.514
,
Andaman_and_Nicobar_Islands,
6,
531.1742,27.051
531.9172,26.287
531.8072,24.956
530.3352,26.141
530.8642,26.987
531.2472,26.383
,
Andaman_and_Nicobar_Islands,
3,
531.8302,29.093
532.1212,27.255
531.4692,28.941
,
Andaman_and_Nicobar_Islands,
17,
530.7392,31.321
531.1332,30.617
530.2492,29.575
531.1962,28.317
531.2372,27.221
530.8252,27.489
530.3602,27.173
530.2022,26.404
529.8772,27.396
530.3032,27.317
530.4172,27.898
530.5632,27.449
530.8102,28.115
529.8722,27.553
529.9642,28.385
529.3372,29.029
529.2212,30.109
,
Andaman_and_Nicobar_Islands,
3,
524.6432,32.042
524.7302,31.102
524.3262,31.611
,
Andaman_and_Nicobar_Islands,
8,
522.3612,33.939
522.7202,33.742
522.3642,32.269
524.0032,30.991
523.8932,30.535
522.3002,31.101
521.5442,32.122
521.7012,33.587
,
Andaman_and_Nicobar_Islands,
3,
520.6362,36.409
520.9212,35.69
520.4552,35.889
,
Andaman_and_Nicobar_Islands,
4,
532.6122,38.517
533.1662,36.308
532.8362,36.28
532.7562,35.321
,
Andaman_and_Nicobar_Islands,
10,
515.2752,52.632
516.0402,51.614
516.6722,51.887
516.0662,51.535
516.1712,50.409
515.3112,49.95
514.1022,50.107
513.8742,51.987
514.8342,52.022
514.9852,52.882
,
Andaman_and_Nicobar_Islands,
19,
509.5822,87.56
509.8852,86.874
509.9192,87.292
510.4722,86.833
510.5152,85.518
511.0862,85.216
511.2762,82.917
510.0882,81.529
510.7042,80.811
509.5232,79.39
507.8832,80.164
506.8482,79.824
507.5862,81.569
506.7432,82.686
506.6552,85.102
507.1032,84.655
508.3472,86.791
509.2392,87.412
509.4702,86.956
,
Andaman_and_Nicobar_Islands,
10,
512.2112,100.547
513.1402,98.986
512.3772,98.362
513.3012,97.941
513.2462,97.579
511.3842,97.066
510.9502,97.502
511.0732,98.219
511.8242,98.323
511.6292,99.784
,
Andaman_and_Nicobar_Islands,
3,
511.2852,101.216
511.0012,101.063
511.1872,101.974
,
Andaman_and_Nicobar_Islands,
4,
503.3672,102.292
504.4522,102.117
504.4332,100.81
503.2752,100.957
,
Andaman_and_Nicobar_Islands,
3,
510.0832,102.525
510.7052,102.218
509.8832,101.481
,
Andaman_and_Nicobar_Islands,
4,
520.1542,107.624
521.2292,107.459
520.7642,106.963
520.0482,107.305
,
Andaman_and_Nicobar_Islands,
9,
519.0802,111.669
519.3512,111.879
519.9152,111.355
520.8482,108.895
520.6112,108.451
519.7252,109.895
519.1822,109.857
518.1592,110.864
518.9852,112.011
,
Andaman_and_Nicobar_Islands,
4,
519.4922,113.142
519.5662,111.881
518.9192,112.489
518.8732,113.21
,
Andaman_and_Nicobar_Islands,
7,
520.2992,114.293
520.6702,111.919
519.8632,112.566
